"Block","Section","Indicator","Value","Rank (states/UTs)","Reference Period","Source","Comments"
"D","D5 - Beneficiary Populations","PM Poshan (MDM) - children covered","[UNCONFIRMED]","N/A","pmposhan.edu.in","pmposhan.edu.in",""
"E","E1 - Health Infrastructure","No. of Sub-Centres (public)","4745 (as of 31 Mar 2022); 3206 converted to AB-HWCs","[UNCONFIRMED rank]","Health Dynamics of India 2022-23","CAG Telangana Health Report Table 5.2 - cag.gov.in/uploads/download_audit_report/2022/07-Chapter-5-HEALTH-REPORT-066ac85e376bcf6.13352761.pdf","29% shortfall vs required 7001"
"E","E1 - Health Infrastructure","No. of PHCs (public)","868 total (636 rural PHCs + 232 UPHCs) as of 31 Mar 2022","[UNCONFIRMED rank]","Health Dynamics of India 2022-23","CAG Telangana Health Report Table 5.2","25% shortfall vs required 1164"
"E","E1 - Health Infrastructure","No. of CHCs (public)","90 as of 31 Mar 2022","[UNCONFIRMED rank]","Health Dynamics of India 2022-23","CAG Telangana Health Report Table 5.2","69% shortfall vs required 292; 3 districts had no CHC"
"E","E1 - Health Infrastructure","No. of District Hospitals and GGHs (public)","14 District Hospitals + 18 Government General Hospitals (Teaching) = 32 secondary facilities","N/A","Health Dynamics of India 2022-23","CAG Telangana Health Report para 5.2.2","Every district served by DH or GGH or Super-Speciality Hospital"
"E","E1 - Health Infrastructure","No. of Govt hospital beds","27996 as of 2021-22","[UNCONFIRMED rank]","Health Dynamics of India 2022-23","CAG Telangana Health Report Table 5.4","0.80 beds per 1000 vs required 1.0; shortfall of 7008 beds"
"E","E1 - Health Infrastructure","No. of Private Hospitals / Nursing Homes","[UNCONFIRMED]","N/A","Health Dynamics of India 2022-23","mohfw.gov.in (PDF blocked in this session)","Hyderabad is major national private healthcare hub"
"E","E2 - Education Infrastructure","No. of Government / Govt-aided Schools","30022","N/A","UDISE+ 2023-24","udiseplus.gov.in; siasat.com","Increased from 29268 in 2014-15"
"E","E2 - Education Infrastructure","No. of Private Unaided Schools","12126","N/A","UDISE+ 2023-24","udiseplus.gov.in; siasat.com","Declined from 15069 in 2014-15"
"E","E2 - Education Infrastructure","Govt schools with fewer than 30 enrolled students","[UNCONFIRMED]","N/A","UDISE+ 2023-24","udiseplus.gov.in","Requires UDISE+ state report card download"
"E","E2 - Education Infrastructure","No. of multigrade teaching govt schools","[UNCONFIRMED]","N/A","UDISE+ 2023-24","udiseplus.gov.in",""
"E","E3 - Connectivity","% HHs with tap water connection (JJM)","[UNCONFIRMED]","N/A","eJalShakti dashboard","ejalshakti.gov.in/jjmreport","SDG Goal 6 score of 90 implies strong coverage"
"E","E3 - Connectivity","% Villages electrified","approx. 100%","N/A","SDG Goal 7 score 100/100; ASER 2024: 91.1% of schools have electricity","saubhagya.gov.in; ASER 2024","Full electrification confirmed"
"E","E3 - Connectivity","NH length in state (km)","[UNCONFIRMED]","N/A","MoRTH","morth.nic.in",""
"E","E3 - Connectivity","No. of functional airports","3 (Hyderabad RGIA; Ramagundam; Warangal)","N/A","AAI","aai.aero","RGIA is a major international hub"
"E","E3 - Connectivity","Internet penetration","[UNCONFIRMED]","N/A","TRAI","trai.gov.in","ASER 2024: only 9% of schools have computers vs 27.4% national avg"
"F","F1 - NITI Aayog Programmes","No. of Aspirational Districts (ADP)","3","N/A","2018 to present","niti.gov.in; telanganatoday.com",""
"F","F1 - NITI Aayog Programmes","Names of Aspirational Districts","Kumuram Bheem Asifabad | Jayashankar Bhupalpally | Bhadradri Kothagudem","N/A","N/A","niti.gov.in","Khammam originally selected; replaced by Bhadradri Kothagudem"
"F","F1 - NITI Aayog Programmes","No. of Aspirational Blocks (ABP)","9","N/A","January 2023 to present","abp.championsofchange.gov.in",""
"F","F1 - NITI Aayog Programmes","Names of Aspirational Blocks (partial)","Tiriyani (Kumuram Bheem Asifabad - ranked 1st nationally) | Narnoor (Adilabad) | Pembi (Nirmal) | 6 further blocks","N/A","January 2023","abp.championsofchange.gov.in; pib.gov.in/PressReleaseIframePage.aspx?PRID=1983707","Full list at abp.championsofchange.gov.in"
"F","F2 - Governance Institutions","Remote Sensing Agency","Yes - TRAC (Telangana Remote Sensing Application Centre)","N/A","Active","telangana.gov.in/departments/planning","Under Planning Dept; nodal for RS & GIS services"
"F","F2 - Governance Institutions","State Planning Commission / Board","Yes - Telangana State Planning Board","N/A","Constituted 2014","telangana.gov.in","Chaired by CM; Finance Minister ex-officio VC"
"F","F2 - Governance Institutions","State Data Centre","Yes - state SDC under IT Dept","N/A","Active","it.telangana.gov.in/initiatives/sdc/","Also NIC state centre in Hyderabad"
"F","F2 - Governance Institutions","SDG Dashboard (public)","[UNCONFIRMED] No standalone public dashboard found","N/A","N/A","telangana.gov.in/departments/planning","Planning Dept is nodal for SDGs"
"F","F2 - Governance Institutions","CM Fellowship / Young Professionals Programme","Yes - Kakatiya Governance Fellowship","N/A","Active","telangana.gov.in/departments/planning","17 fellows under TGDPS; deployed across 9 departments"
"F","F2 - Governance Institutions","Dedicated Data Analytics Unit (DAU)","[UNCONFIRMED] No standalone DAU found","N/A","N/A","telangana.gov.in","TGDPS and Planning Dept perform analytical functions"
"F","F2 - Governance Institutions","Integrated State Resident Dataset","Yes - Samagra Vedika","N/A","approx. 2018 to present","cgg.gov.in","Pioneering state-level integrated welfare database"
"F","F2 - Governance Institutions","State Transformation Institution","Yes - Centre for Good Governance (CGG)","N/A","Established 2001","cgg.gov.in","Policy research | capacity building | e-governance advisory; dual role"
"F","F2 - Governance Institutions","State Technology / e-Governance Society","Yes - Centre for Good Governance (CGG) - cgg.gov.in","N/A","Established 2001","cgg.gov.in","CGG serves both roles; originally served undivided AP"
"F","F2 - Governance Institutions","CM Economic / Advisory Council","[UNCONFIRMED] No formal EAC found","N/A","May 2025","N/A","No gazette notification; PM EAC Chair met CM informally"
"F","F2 - Governance Institutions","State Finance Commission","[UNCONFIRMED - last report year]","N/A","N/A","Telangana Finance Dept",""
"F","F2 - Governance Institutions","State budget on public portal","Yes","N/A","Annual","telangana.gov.in/telangana-budget-2024-2025",""
"F","F2 - Governance Institutions","Regional Development / Planning Boards","No - none found","N/A","May 2025","Search confirmed absence","Backward area addressed via Section 94(2) AP Reorganisation Act 2014"
"F","F2 - Governance Institutions","Out-of-budget / Challenge Fund","Yes - SERP Challenge Fund (Rs 12.66 crore for SHG and women-led rural enterprises)","N/A","Launched March 2026","fortuneindia.com/business-news/telangana-launches-1266-crore-challenge-fund/130857","Run by SERP; NRLM-backed; across all 33 districts"
"F","F2 - Governance Institutions","Training Institute for Govt Employees","Yes - Dr. MCR HRD Institute of Telangana (MCRHRDI)","N/A","Established 1976","mcrhrdi.gov.in","Apex Administrative Training Institute; NABET-accredited Excellent"
"F","F2 - Governance Institutions","e-Procurement Policy / Portal","Yes - mandatory; 2023 GO mandates use of state portal exclusively","N/A","Policy 2014; updated 2023","eprocurement.telangana.gov.in","All depts required to use state portal exclusively"
"F","F2 - Governance Institutions","Unified Grievance Mechanism","Yes - Prajavani","N/A","Active","cpgrams.ts.nic.in; prajavani.cgg.gov.in","PGRAMS-integrated; being expanded to mandal level (2025)"
"F","F2 - Governance Institutions","Vision 2047 Document","Yes - Telangana Rising 2047","N/A","Released 9 December 2024","telanganarising2047.org","Target: $3 trillion SGDP by 2047; $1 trillion by 2034"
"SUMMARY","Strengths","What Telangana does well (relative to national avg)","Telangana ranks 5th nationally on per capita GSDP (Rs 420347 in 2024-25; 1.8x national avg) and 8th on total GSDP with 6.8% real growth exceeding national 6.5%. Composite SDG score 74 ranks 9th nationally (national avg 71) with standout scores: Goal 7 Clean Energy (100/100; Achiever; 1st jointly) and Goal 1 No Poverty (91/100; 2nd nationally). LFPR at 68.7% exceeds national avg 64.3%. Own tax revenue at 6.8% of GSDP is among the highest of general category states. Revenue balance turned surplus in 2026-27 BE. Institutional infrastructure - Samagra Vedika | CGG | TRAC | Kakatiya Governance Fellowship | MCRHRDI | Prajavani | Telangana Rising 2047 | SEEEPC caste survey (96.9% HH coverage) - places it among the strongest governance systems nationally. MMR of 45 is among 8 states to have attained SDG target of MMR <=70.","N/A","N/A","Synthesised from indicators in this profile only",""
"SUMMARY","Gaps","Areas where Telangana lags (relative to national avg)","Telangana is among 6 states recording statistically significant increase (>=3pp) in child stunting between NFHS-4 and NFHS-5 (28% to 33%). Child anaemia worsened sharply to 70% (+9pp) - all 31 districts in public health concern zone. Female literacy at 57.92% (Census 2011) is among the lowest of large states. ASER 2024: only 18% of Std III-V students can read Std II text. Enrolled students in govt schools fell from 33 lakh (2021-22) to 27.8 lakh (2023-24) - sharp migration to private. Fiscal deficit at 3.0% GSDP is at FRBM ceiling; outstanding liabilities 28.7% GSDP; outstanding guarantees to PSEs equal 14% GSDP (Rs 241743 crore). Sex ratio at birth 894 is one of 3 states below 900. Health infrastructure has significant shortfalls: CHCs are at 69% shortfall vs norm; hospital beds at 0.80 per 1000 vs required 1.0.","N/A","N/A","Synthesised from indicators in this profile only",""
